"STAND","StrainAlias","FINAL1011order","Clade","Ploidy","Ty1_ratio_over_ploidy","Ty2_ratio_over_ploidy","Ty3_ratio_over_ploidy","Ty4_ratio_over_ploidy","Ty5_ratio_over_ploidy","Total_ratio_over_ploidy","Ty1_count","Ty2_count","Ty3_count","Ty4_count","Ty5_count","Total_count","Sporulation in water","Asci at 24h","Dyads at 24h","Asci at 72h","Dyads at 72h","CLS in water (day 8)","CLS in water (day 20)","CLS in SDC (day 7)","CLS in SDC (day 21)","CLS in SDC (day 35)","CLS in crSDC (day 7)","CLS in crSDC (day 21)","CLS in crSDC (day 35)"
"BPC",NA,159,"01.Wine_European",2,0.01,7.05,0,0,2.3,9.36,0.02,14.1,0,0,4.6,18.72,"12.6","50","0","91","21.978021980000001","NA","NA","94.496934089999996","59.386201980000003","36.992905149999999","93.80082779","84.242693090000003","72.044968879999999"
"BKE",NA,160,"01.Wine_European",2,2.15,11.55,0.94,0,2.31,16.95,4.3,23.1,1.88,0,4.62,33.9,"0","0","NA","18","55.555555560000002","46.1","27","33.377083810000002","18.993823710000001","14.71697294","89.894276379999994","47.252512699999997","42.207184830000003"
"BLH",NA,161,"01.Wine_European",2,8.27,9.84,0,0,2.07,20.18,16.54,19.68,0,0,4.14,40.36,"0","3","0","52","1.923076923","81.5","67.7","97.756175049999996","68.835187379999994","45.255759619999999","96.311556580000001","85.457724389999996","73.446791939999997"
"CRG",NA,162,"01.Wine_European",2,1.47,11.86,0,0,2.18,15.51,2.94,23.72,0,0,4.36,31.02,"0","4","0","67","4.4776119400000001","77.400000000000006","66","91.387576859999996","41.740319550000002","20.486490589999999","96.771595959999999","81.731495089999996","63.86313269"
"AIL",NA,163,"01.Wine_European",2,0.02,11.84,0,0,1.98,13.84,0.04,23.68,0,0,3.96,27.68,"0","0","NA","11","0","50.1","28.8","64.450939419999997","10.50738774","6.0794601970000004","66.444381590000006","42.114833910000002","32.739252530000002"
"AMS",NA,164,"01.Wine_European",2,0.03,8.98,0,0.01,1.86,10.88,0.06,17.96,0,0.02,3.72,21.76,"0","22","0","45","2.2222222220000001","59.1","35.5","72.191324539999997","11.18818216","5.2512556579999998","86.400072960000003","50.148714859999998","35.922751470000001"
"BLE",NA,165,"01.Wine_European",2,0.02,13.58,0.93,0,2.3,16.83,0.04,27.16,1.86,0,4.6,33.66,"0","69","10.144927539999999","85","24.70588235","65.8","47.1","95.532501659999994","49.296982679999999","35.563932710000003","80.022477809999998","21.10534066","11.741955900000001"
"ADB",NA,166,"01.Wine_European",1,5,8.23,0.99,0,1.78,16,5,8.23,0.99,0,1.78,16,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BQB",NA,167,"01.Wine_European",2,3.63,10.45,0.48,0,2.45,17.01,7.26,20.9,0.96,0,4.9,34.02,"0","0","NA","0","NA","75.400000000000006","65","97.987769","68.003621359999997","60.3450475","94.830073810000002","71.774614650000004","46.94449298"
"AMR",NA,168,"01.Wine_European",2,7.21,8.74,0.01,0.01,1.95,17.92,14.42,17.48,0.02,0.02,3.9,35.84,"0","98","8.1632653059999996","99","10.1010101","48.4","39.299999999999997","13.123005170000001","6.8779663529999997","6.8820586669999999","96.013387809999998","41.52643853","36.571673429999997"
"ABT",NA,169,"01.Wine_European",1,8.46,9.34,0,0,1.89,19.69,8.46,9.34,0,0,1.89,19.69,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BRA",NA,170,"01.Wine_European",2,8.2,8.8,0,0,2.22,19.22,16.4,17.6,0,0,4.44,38.44,"0","17","0","59","25.42372881","79.400000000000006","50","96.310880229999995","61.289807109999998","13.87132106","98.006731400000007","77.465396560000002","20.958743980000001"
"BIC",NA,171,"01.Wine_European",2,8,9,0.9,0,2.25,20.15,16,18,1.8,0,4.5,40.3,"0","70","4.2857142860000002","99","18.18181818","75.7","61.9","31.687447370000001","7.9825868460000002","6.6198763630000004","97.081938370000003","77.129116620000005","52.35723437"
"BLK",NA,172,"01.Wine_European",2,11.03,9.63,0,1.1,2.31,24.07,22.06,19.26,0,2.2,4.62,48.14,"0","63","19.047619050000002","77","19.480519480000002","67","48.5","87.213387130000001","27.92253148","8.0398612160000003","96.512414890000002","63.1480295","37.903429180000003"
"BBV",NA,173,"01.Wine_European",2,11.48,9.48,0.47,0.52,2.68,24.63,22.96,18.96,0.94,1.04,5.36,49.26,"0","15","0","85","42.352941180000002","67.099999999999994","54.6","84.478547640000002","56.667469349999998","28.552423780000002","95.851483000000002","85.123049780000002","65.725419560000006"
"BVK",NA,174,"01.Wine_European",2,10.92,9.81,0,1.33,2.61,24.67,21.84,19.62,0,2.66,5.22,49.34,"0","49","0","64","7.8125","61.6","52.1","87.344561769999999","52.865588340000002","33.122179840000001","96.015973020000004","70.87421415","56.99453184"
"CFE",NA,175,"01.Wine_European",2,9.55,12.32,0.51,0.52,1.98,24.88,19.1,24.64,1.02,1.04,3.96,49.76,"0","4","0","45","4.4444444440000002","76.8","68.2","86.731055299999994","45.719168750000001","20.310426270000001","93.125898179999993","82.221712760000003","66.40488929"
"BRF",NA,176,"01.Wine_European",2,13.63,11.55,2.42,0,2.15,29.75,27.26,23.1,4.84,0,4.3,59.5,"0","42","0","77","20.779220779999999","71.900000000000006","63.6","94.503952080000005","51.716661369999997","32.366958940000004","95.30726507","73.128154039999998","50.176529090000002"
"BSM",NA,177,"01.Wine_European",2,14.09,11,2.38,0,2.26,29.73,28.18,22,4.76,0,4.52,59.46,"0","55","5.4545454549999999","74","28.378378380000001","84.7","80.900000000000006","88.733850430000004","38.247118880000002","15.568632770000001","94.485279219999995","81.947653180000003","64.4019263"
"BSN",NA,178,"01.Wine_European",2,13.97,10.78,2.36,0,2.18,29.29,27.94,21.56,4.72,0,4.36,58.58,"0","46","8.6956521739999992","82","39.024390240000002","82.9","78.7","88.913655590000005","37.929208039999999","14.058165730000001","94.385821030000002","79.795605800000004","59.929856800000003"
"CPE",NA,179,"01.Wine_European",2,10.25,14.85,0.9,0,2.14,28.14,20.5,29.7,1.8,0,4.28,56.28,"0","51","17.647058820000002","72","41.666666669999998","78.3","70.099999999999994","91.119253270000002","71.956184100000002","38.897122250000002","93.629882699999996","83.307798030000001","65.747711929999994"
"BLM",NA,180,"01.Wine_European",2,0.01,12.86,0,0,2.24,15.11,0.02,25.72,0,0,4.48,30.22,"NA","0","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BQC",NA,181,"01.Wine_European",2,0.01,10.12,0,0,2.15,12.28,0.02,20.24,0,0,4.3,24.56,"0","52","3.846153846","82","30.487804879999999","62.9","52.6","76.144662159999996","29.367985860000001","15.191008180000001","96.51485941","68.523788780000004","39.265441260000003"
"BRE",NA,182,"01.Wine_European",2,0.03,7.47,0,0,2.09,9.59,0.06,14.94,0,0,4.18,19.18,"0","32","0","62","14.51612903","76.7","61.2","93.677892400000005","49.353597559999997","18.62808377","84.462851920000006","29.60615185","23.01968201"
"BPV",NA,183,"01.Wine_European",2,3.2,11.08,0.96,1.06,2.27,18.57,6.4,22.16,1.92,2.12,4.54,37.14,"0","61","3.2786885250000002","80","17.5","71.8","60.3","96.754046180000003","63.814120549999998","42.859396820000001","96.42268052","61.752467500000002","37.70387788"
