"STAND","StrainAlias","FINAL1011order","Clade","Ploidy","Ty1_ratio_over_ploidy","Ty2_ratio_over_ploidy","Ty3_ratio_over_ploidy","Ty4_ratio_over_ploidy","Ty5_ratio_over_ploidy","Total_ratio_over_ploidy","Ty1_count","Ty2_count","Ty3_count","Ty4_count","Ty5_count","Total_count","Sporulation in water","Asci at 24h","Dyads at 24h","Asci at 72h","Dyads at 72h","CLS in water (day 8)","CLS in water (day 20)","CLS in SDC (day 7)","CLS in SDC (day 21)","CLS in SDC (day 35)","CLS in crSDC (day 7)","CLS in crSDC (day 21)","CLS in crSDC (day 35)"
"CKE",NA,244,"01.Wine_European",2,0.02,15.88,0,0,2.05,17.95,0.04,31.76,0,0,4.1,35.9,"0","0","NA","0","NA","69.900000000000006","72","78.756313899999995","32.634052680000003","14.509004150000001","89.539625229999999","71.714606270000004","54.596812329999999"
"CIS",NA,245,"01.Wine_European",2,0.02,16.11,0,0,2.17,18.3,0.04,32.22,0,0,4.34,36.6,"0","0","NA","0","NA","68.7","73.099999999999994","79.276634310000006","31.739221919999999","13.879427850000001","89.539822200000003","72.059051350000004","57.483273429999997"
"BMN",NA,246,"01.Wine_European",2,0.02,15.4,0,0,2.21,17.63,0.04,30.8,0,0,4.42,35.26,"0","0","NA","0","NA","68.099999999999994","70.900000000000006","77.158531870000004","33.94266064","19.477104220000001","89.261627410000003","71.764661200000006","52.781271660000002"
"CIT",NA,247,"01.Wine_European",2,0.02,15.87,0,0,2.19,18.08,0.04,31.74,0,0,4.38,36.16,"0","0","NA","0","NA","62.8","55.4","47.039503099999997","18.46929003","8.6063890080000007","75.047198230000006","49.666741170000002","40.503505769999997"
"CKP",NA,248,"01.Wine_European",2,0.02,15.76,0,0,2.15,17.93,0.04,31.52,0,0,4.3,35.86,"0","0","NA","0","NA","72.7","74.099999999999994","78.941405119999999","31.72827144","14.01367726","89.257462540000006","73.028060589999995","58.284985939999999"
"CKQ",NA,249,"01.Wine_European",2,0.06,15.78,0.01,0,2.13,17.98,0.12,31.56,0.02,0,4.26,35.96,"0","0","NA","0","NA","74.3","75.5","80.215825420000002","32.577675380000002","13.59463435","89.445571000000001","72.852510850000002","55.979031519999999"
"CKB",NA,250,"01.Wine_European",2,0.01,15.92,0,0,1.99,17.92,0.02,31.84,0,0,3.98,35.84,"0","0","NA","0","NA","70.3","74.3","79.322859750000006","32.145661320000002","14.04559199","89.725763959999995","73.202342830000006","55.984001249999999"
"CKC",NA,251,"01.Wine_European",2,0.02,15.59,0,0,2.12,17.73,0.04,31.18,0,0,4.24,35.46,"0","0","NA","0","NA","72.099999999999994","73","80.123090360000006","32.599858930000003","14.01051174","90.009896370000007","71.53652151","55.36986959"
"CIQ",NA,252,"01.Wine_European",2,0.13,16.31,0.01,0.01,1.6,18.06,0.26,32.62,0.02,0.02,3.2,36.12,"0","0","NA","0","NA","62.5","37.5","70.625202590000001","44.370772479999999","50.634639270000001","90.867586689999996","50.44614533","36.681754120000001"
"CIM",NA,253,"01.Wine_European",2,0.41,20.01,0.02,0.03,2.25,22.72,0.82,40.02,0.04,0.06,4.5,45.44,"0","0","NA","0","NA","71.400000000000006","67.5","63.499667809999998","32.672358860000003","13.96593494","90.768422650000005","70.877570689999999","50.341652680000003"
"CIN",NA,254,"01.Wine_European",2,0.04,17,0,0,2.13,19.17,0.08,34,0,0,4.26,38.34,"0","0","NA","0","NA","69.2","74.099999999999994","79.473944959999997","33.381299249999998","14.40241417","89.915842139999995","71.86765776","55.708339879999997"
"CIR",NA,255,"01.Wine_European",2,0.12,16.55,0.02,0.01,2.23,18.93,0.24,33.1,0.04,0.02,4.46,37.86,"0","0","NA","0","NA","71.3","74.599999999999994","79.485406589999997","32.623667390000001","15.68164969","89.821787909999998","71.962087049999994","55.617298669999997"
"CKF",NA,256,"01.Wine_European",2,0.02,15.88,0,0,1.99,17.89,0.04,31.76,0,0,3.98,35.78,"0","0","NA","0","NA","71.900000000000006","75.099999999999994","80.204932130000003","32.949991670000003","13.907554319999999","90.575403570000006","74.321551679999999","58.203884189999997"
"CKG",NA,257,"01.Wine_European",2,0.05,15.69,0,0,2.15,17.89,0.1,31.38,0,0,4.3,35.78,"0","0","NA","0","NA","70.900000000000006","74","79.855967930000006","30.98632349","13.19183421","90.009108479999995","73.028060589999995","58.115380709999997"
"CKM",NA,258,"01.Wine_European",2,0.05,15.9,0,0,1.89,17.84,0.1,31.8,0,0,3.78,35.68,"0","0","NA","0","NA","70.599999999999994","73.900000000000006","79.264604320000004","32.341074380000002","15.09799946","89.539625229999999","71.02001233","52.836259259999999"
"CIP",NA,259,"01.Wine_European",2,0.49,17.5,0.03,0.05,2.03,20.1,0.98,35,0.06,0.1,4.06,40.2,"0","0","NA","0","NA","53.7","45.8","64.150526769999999","17.762650969999999","10.080544980000001","80.931510070000002","44.37127521","28.256881570000001"
"BCA",NA,260,"01.Wine_European",2,0.03,15.39,0,0,2.59,18.01,0.06,30.78,0,0,5.18,36.02,"0","0","NA","0","NA","70","69.3","76.872317670000001","34.0662971","19.14538885","89.736032929999993","71.354108220000001","52.106962920000001"
"AMT",NA,261,"01.Wine_European",2,0.02,14.84,0,0,1.88,16.74,0.04,29.68,0,0,3.76,33.48,"0","0","NA","0","NA","72.400000000000006","71.400000000000006","76.507128510000001","31.593160059999999","15.8298059","88.979161559999994","71.269722040000005","53.638276210000001"
"CIV",NA,262,"01.Wine_European",2,0.07,16.41,0,0.01,2.26,18.75,0.14,32.82,0,0.02,4.52,37.5,"0","0","NA","0","NA","72.099999999999994","70.099999999999994","72.745396029999995","27.794435450000002","11.9589918","89.258348920000003","65.378971570000004","48.294032369999996"
"CKT",NA,263,"01.Wine_European",2,0.07,15.98,0.02,0,2.24,18.31,0.14,31.96,0.04,0,4.48,36.62,"0","0","NA","0","NA","74.599999999999994","75.900000000000006","78.559571599999998","30.43413675","11.87072034","89.727536709999995","73.380216340000004","58.762079960000001"
"BIL",NA,264,"01.Wine_European",2,0.02,14.09,0.01,0,2.29,16.41,0.04,28.18,0.02,0,4.58,32.82,"0","39","2.5641025640000001","67","17.91044776","85.2","67.400000000000006","87.826352920000005","43.334042879999998","14.516322260000001","96.977934099999999","81.890827049999999","66.378995000000003"
"ABS",NA,265,"01.Wine_European",1,0.07,9.02,0,0,1.95,11.04,0.07,9.02,0,0,1.95,11.04,"0","NA","NA","NA","NA","38","20.100000000000001","NA","NA","NA","NA","NA","NA"
"BIP",NA,266,"01.Wine_European",2,0,12.09,0,0,2.11,14.2,0,24.18,0,0,4.22,28.4,"0","6","0","48","25","52.7","42.5","76.776375119999997","18.836956570000002","21.783928499999998","95.077700059999998","87.787656459999994","70.789951590000001"
"BIQ",NA,267,"01.Wine_European",1,0,11.61,0,0,3.47,15.08,0,11.61,0,0,3.47,15.08,"0","NA","NA","NA","NA","54.3","51.9","68.370865949999995","20.528502670000002","20.328586510000001","91.058088999999995","87.328590379999994","76.587634570000006"
"BNI",NA,268,"01.Wine_European",2,0.01,19.33,0,0,2.22,21.56,0.02,38.66,0,0,4.44,43.12,"0","22","4.5454545450000001","55","41.81818182","43.4","19.8","58.07816725","17.964479319999999","9.9279018150000002","79.400652280000003","48.621626900000003","39.852578770000001"
"BLV",NA,269,"01.Wine_European",2,0.96,16.53,0,0,2.28,19.77,1.92,33.06,0,0,4.56,39.54,"0","6","0","35","40","43.6","25","42.711021529999996","20.287931400000002","12.13660578","86.088765249999994","56.546267970000002","37.981264109999998"
"BQG",NA,270,"01.Wine_European",2,0.98,15.03,0,0,2.07,18.08,1.96,30.06,0,0,4.14,36.16,"0","10","20","36","30.555555559999998","39.4","22.3","43.693231679999997","20.929566650000002","14.12085005","86.261104119999999","59.090349969999998","47.243025699999997"
"CRD",NA,271,"01.Wine_European",2,0.03,12.76,0.93,0,2.19,15.91,0.06,25.52,1.86,0,4.38,31.82,"0","77","9.0909090910000003","99","16.161616160000001","84.7","77.599999999999994","89.606421339999997","33.801696710000002","21.356026839999998","81.646150329999998","38.992768269999999","42.702389750000002"
"CRI",NA,272,"01.Wine_European",2,0.01,13.25,0,0,2.02,15.28,0.02,26.5,0,0,4.04,30.56,"0","0","NA","17","64.705882349999996","34.200000000000003","16.399999999999999","12.600669959999999","14.350866229999999","14.41982782","67.773404959999993","39.310060739999997","34.682238779999999"
"BVM",NA,273,"01.Wine_European",2,0.03,15.22,0,0,2.17,17.42,0.06,30.44,0,0,4.34,34.84,"0","61","3.2786885250000002","94","24.468085110000001","69.400000000000006","65","89.956289200000001","54.311322990000001","36.950424699999999","95.113944040000007","64.199574249999998","53.044905290000003"
"CQV",NA,274,"01.Wine_European",2,0.02,14.63,0,0,2.27,16.92,0.04,29.26,0,0,4.54,33.84,"0","80","11.25","96","22.916666670000001","68.5","63.7","91.485799999999998","57.388238729999998","37.473108789999998","95.403925580000006","66.351445240000004","56.196823039999998"
"CRK",NA,275,"01.Wine_European",2,0.01,14.73,0,0,2.18,16.92,0.02,29.46,0,0,4.36,33.84,"0","81","11.11111111","97","14.432989689999999","68.8","63.5","91.085877300000007","56.985394919999997","37.961226590000003","95.420731669999995","62.999530030000003","51.816622359999997"
"BLF",NA,276,"01.Wine_European",2,0.02,11.84,0,0,2.37,14.23,0.04,23.68,0,0,4.74,28.46,"0","0","NA","8","0","75.5","67.2","91.19950695","56.938122440000001","23.673131600000001","96.409235649999999","74.952268279999998","55.177721499999997"
"CEA",NA,277,"01.Wine_European",1,0.05,12.32,0,0.01,1.99,14.37,0.05,12.32,0,0.01,1.99,14.37,"0","NA","NA","NA","NA","93.2","86.3","76.763584370000004","26.747777459999998","14.28281494","87.932310909999998","71.794618459999995","47.213713149999997"
"CEB",NA,278,"01.Wine_European",1,0.04,11.4,0,0.01,2.18,13.63,0.04,11.4,0,0.01,2.18,13.63,"NA","NA","NA","NA","NA","NA","37.200000000000003","NA","NA","NA","NA","NA","NA"
"BNT",NA,279,"01.Wine_European",2,0.02,14.63,0,0,2.33,16.98,0.04,29.26,0,0,4.66,33.96,"0","42","0","78","30.76923077","55.6","40.6","79.206779940000004","27.10703436","18.309654989999999","96.612844039999999","63.752802420000002","46.990757109999997"
"BLD",NA,280,"01.Wine_European",2,0.01,10.55,0,0,2.38,12.94,0.02,21.1,0,0,4.76,25.88,"0","0","NA","28","39.285714290000001","81.099999999999994","73.5","94.656490340000005","44.998175930000002","24.44324975","89.233236629999993","21.520277180000001","15.15597088"
"BKR",NA,281,"01.Wine_European",2,0.01,7.41,0.01,0,2.71,10.14,0.02,14.82,0.02,0,5.42,20.28,"0","8","0","79","15.18987342","79","69.400000000000006","94.338409889999994","58.19953177","26.991960240000001","94.530925310000001","79.123967190000002","65.94406017"
"CEC",NA,282,"01.Wine_European",2,0.06,7.19,0,0.01,2.03,9.29,0.12,14.38,0,0.02,4.06,18.58,"0","1","0","65","6.153846154","91.4","84.6","87.482787090000002","39.780900539999998","13.84984835","93.132989179999996","84.100580919999999","68.186378649999995"
"BNH",NA,283,"01.Wine_European",2,0,13.52,0,0,2.44,15.96,0,27.04,0,0,4.88,31.92,"0","26","0","63","9.5238095240000007","62.7","47.9","91.074627860000007","31.914534190000001","6.7831382659999999","74.605414920000001","15.343639469999999","19.44284906"
"BLC",NA,284,"01.Wine_European",2,0.02,9.44,0,0,2.35,11.81,0.04,18.88,0,0,4.7,23.62,"0","3","0","27","3.703703704","72.7","68.599999999999994","88.710388089999995","33.906238039999998","11.57272148","85.095983369999999","18.255639689999999","13.21734489"
"CEE",NA,285,"01.Wine_European",2,0.03,10.5,0,0,2.11,12.64,0.06,21,0,0,4.22,25.28,"0","19","0","61","0","90","80.599999999999994","70.1293012","18.418140690000001","7.5840799780000001","91.971247109999993","54.902919009999998","36.369113900000002"
"BNN",NA,286,"01.Wine_European",2,0.01,12.83,0,0,2.37,15.21,0.02,25.66,0,0,4.74,30.42,"0","74","10.81081081","83","21.68674699","82.9","51.4","93.317497549999999","46.151400389999999","20.949843919999999","98.011213029999993","62.64013387","43.561155290000002"
"CED",NA,287,"01.Wine_European",2,1.1,10.32,0,0,2.09,13.51,2.2,20.64,0,0,4.18,27.02,"0","0","NA","3","0","77.5","62.8","70.403812130000006","34.321627489999997","16.455439030000001","85.591317369999999","58.033873020000001","40.867670619999998"
"BKS",NA,288,"01.Wine_European",2,1.11,13.71,0,0,2.57,17.39,2.22,27.42,0,0,5.14,34.78,"0","10","0","34","26.470588240000001","75.400000000000006","69","85.044309630000001","57.353298189999997","43.105434260000003","92.299381409999995","64.515674379999993","51.529506759999997"
"BLP",NA,289,"01.Wine_European",2,1.17,14.29,0,0,2.19,17.65,2.34,28.58,0,0,4.38,35.3,"0","0","NA","22","4.5454545450000001","54.9","45.7","76.034954330000005","30.168441730000001","18.853753879999999","61.392360869999997","38.663738100000003","34.634957589999999"
"BLN",NA,290,"01.Wine_European",2,1.16,12.81,0,0,2.37,16.34,2.32,25.62,0,0,4.74,32.68,"0","6","0","34","5.8823529409999997","66.5","59.7","71.187478429999999","28.528665660000001","22.41012387","81.47075581","40.937660770000001","39.514830750000002"
"CDV",NA,291,"01.Wine_European",2,1.16,13.54,0,0,2.07,16.77,2.32,27.08,0,0,4.14,33.54,"0","0","NA","45","26.666666670000001","86.5","77.599999999999994","78.649938550000002","26.31845216","13.82499119","85.126265989999993","53.845606760000003","44.935341229999999"
"CEF",NA,292,"01.Wine_European",2,1.14,11.39,0,0,1.99,14.52,2.28,22.78,0,0,3.98,29.04,"0","0","NA","0","NA","87.4","79.8","80.610446719999999","38.855832329999998","20.87378601","89.856750480000002","61.831852689999998","48.10000144"
"ANQ",NA,293,"01.Wine_European",2,0.04,9.18,0,0.01,1.77,11,0.08,18.36,0,0.02,3.54,22,"22.4","66","22.727272729999999","92","26.086956520000001","NA","NA","82.719590609999997","30.94077557","12.97862289","80.80209241","38.400650319999997","29.03214711"
"AVK",NA,294,"01.Wine_European",2,0.01,10.05,0,0,2.06,12.12,0.02,20.1,0,0,4.12,24.24,"0","52","11.53846154","75","16","92.3","82.5","91.701217589999999","56.064262210000003","31.190483700000001","92.925098869999999","83.257637369999998","69.281322669999994"
"BIK",NA,295,"01.Wine_European",2,0.05,14.94,0.01,0.01,2.44,17.45,0.1,29.88,0.02,0.02,4.88,34.9,"0","59","15.254237290000001","99","20.2020202","67.7","54.9","85.639649300000002","41.866901800000001","25.126794629999999","95.30358631","67.124937180000003","46.615988969999997"
"CLH",NA,296,"01.Wine_European",2,0.06,22.5,0.9,0.01,2.07,25.54,0.12,45,1.8,0.02,4.14,51.08,"0","0","NA","0","NA","88.7","29.5","69.146159609999998","1.066917764","2.7807323390000001","53.799125740000001","0.27837412299999997","0.18060696400000001"
"AHN",NA,297,"01.Wine_European",1,0.04,13.04,0,0,2.19,15.27,0.04,13.04,0,0,2.19,15.27,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BSG",NA,298,"01.Wine_European",2,0.03,13.51,0,0,2.08,15.62,0.06,27.02,0,0,4.16,31.24,"0","31","0","35","0","56.3","38.299999999999997","NA","NA","NA","NA","NA","NA"
"SACE_YCA",NA,299,"01.Wine_European",2,0.39,14.34,0,0.08,2.5,17.31,0.78,28.68,0,0.16,5,34.62,"0","41","0","60.9375","3.846153846","44.41","27.405000000000001","88.364629149999999","15.79138077","7.2183491999999996","94.130205340000003","74.597232700000006","62.128651150000003"
"ACT",NA,300,"01.Wine_European",1,7.23,9.32,0,0,1.96,18.51,7.23,9.32,0,0,1.96,18.51,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ACV",NA,301,"01.Wine_European",1,7.35,9.21,0,0,1.93,18.49,7.35,9.21,0,0,1.93,18.49,"0","NA","NA","NA","NA","75.8","70","NA","NA","NA","NA","NA","NA"
"AKP",NA,302,"01.Wine_European",2,7.52,8.73,0,0,1.79,18.04,15.04,17.46,0,0,3.58,36.08,"0","32","0","66","21.212121209999999","72","57.9","85.217951420000006","16.060143660000001","7.0110458360000001","97.661222480000006","65.200751550000007","44.474080239999999"
"AKV",NA,303,"01.Wine_European",2,7.23,8.72,0.01,0,1.76,17.72,14.46,17.44,0.02,0,3.52,35.44,"0","0","NA","48","14.58333333","73.2","60.7","84.384273579999999","35.615661109999998","18.906919340000002","90.771337810000006","74.226651669999995","50.217740460000002"
"ALE",NA,304,"01.Wine_European",2,6.66,8.77,0.01,0.01,1.83,17.28,13.32,17.54,0.02,0.02,3.66,34.56,"0","24","0","69","23.188405800000002","75.900000000000006","62.7","81.050148849999999","26.613309050000002","11.6530196","93.655271780000007","76.002364420000006","55.602946430000003"
"BQP",NA,305,"01.Wine_European",2,6,17.06,0,1.1,0.01,24.17,12,34.12,0,2.2,0.02,48.34,"0","3","0","50","6","71.400000000000006","56","98.179112660000001","76.334416250000004","37.333330650000001","94.231776819999993","82.634667129999997","63.940406269999997"
"BRB",NA,306,"01.Wine_European",2,13.36,12.58,0,0,1.09,27.03,26.72,25.16,0,0,2.18,54.06,"0","21","0","72","15.277777779999999","90.5","80.3","98.182621659999995","77.370113470000007","67.476176280000004","95.285875489999995","86.814888109999998","76.342172099999999"
"BIT",NA,307,"01.Wine_European",2,10.82,9.47,2.05,0,2.37,24.71,21.64,18.94,4.1,0,4.74,49.42,"0","31","0","60","8.3333333330000006","43.8","22.4","78.860214670000005","30.114629570000002","17.178627609999999","89.614989629999997","53.125000759999999","48.364186310000001"
"AQB",NA,308,"01.Wine_European",2,9.14,19.8,3.45,0,2.33,34.72,18.28,39.6,6.9,0,4.66,69.44,"0","0","NA","0","NA","14.1","3.27","10.41850417","7.4106274680000004","7.3669244120000004","23.617184009999999","33.0132464","36.03790094"
"BRH",NA,309,"01.Wine_European",2,9.64,18.64,2.9,0,2.32,33.5,19.28,37.28,5.8,0,4.64,67,"NA","38","0","74","8.1081081079999997","NA","NA","60.58044821","16.612461700000001","15.159244040000001","70.433377190000002","44.347008850000002","34.84011761"
"ABP",NA,310,"01.Wine_European",1,1.08,10.24,2.15,0,2.09,15.56,1.08,10.24,2.15,0,2.09,15.56,"0","NA","NA","NA","NA","25.2","18.7","NA","NA","NA","NA","NA","NA"
"BIR",NA,311,"01.Wine_European",2,0.13,26.47,7.41,0,2.26,36.27,0.26,52.94,14.82,0,4.52,72.54,"0","94","100","93","100","60.1","55.3","86.989911460000002","40.662922930000001","21.427007400000001","93.491170830000002","76.123029529999997","59.056514200000002"
"CPF",NA,312,"01.Wine_European",2,0.05,23.67,0.48,0,2.13,26.33,0.1,47.34,0.96,0,4.26,52.66,"26.8","49","100","68","100","NA","NA","85.191980999999998","99.000671749999995","79.739650620000006","90.623958509999994","79.474173109999995","62.822693090000001"
"BNG",NA,313,"01.Wine_European",3,0.39,19.78,0,0,2.16,22.33,1.17,59.34,0,0,6.48,66.99,"0","0","NA","3","100","50","36.200000000000003","73.420835280000006","33.12652362","31.83271843","87.991847230000005","50.598245579999997","34.245993390000002"
"AIM",NA,314,"01.Wine_European",2,5.41,17.46,0,0,2.11,24.98,10.82,34.92,0,0,4.22,49.96,"0","33","0","70","4.2857142860000002","71.099999999999994","63.3","84.554398579999997","36.067808829999997","15.5774727","93.801287840000001","65.258925509999997","51.311542629999998"
"CFB",NA,315,"01.Wine_European",2,5.68,20.56,0,0,2.18,28.42,11.36,41.12,0,0,4.36,56.84,"0","0","NA","40","5","77.599999999999994","62.7","77.983767209999996","28.332723819999998","17.351792","97.774241919999994","88.864297129999997","70.283888899999994"
"CHF",NA,316,"01.Wine_European",2,2.67,20.34,0.45,0,1.65,25.11,5.34,40.68,0.9,0,3.3,50.22,"0","6","0","58","15.51724138","93.8","89.7","94.30882321","29.35702513","10.655822349999999","96.237598000000006","74.751098780000007","43.792337070000002"
"BHB",NA,317,"01.Wine_European",2,5.27,17.22,0,0.51,2.88,25.88,10.54,34.44,0,1.02,5.76,51.76,"0","41","39.024390240000002","69","24.63768116","79.5","62.9","55.409319369999999","25.69881496","17.714143109999998","79.889589270000002","62.074827550000002","48.80841727"
"AAK",NA,318,"01.Wine_European",1,0.02,22.1,0,0,2.41,24.53,0.02,22.1,0,0,2.41,24.53,"0","NA","NA","NA","NA","50.7","46.9","NA","NA","NA","NA","NA","NA"
"AHP",NA,319,"01.Wine_European",2,0.01,23.92,0,0,1.77,25.7,0.02,47.84,0,0,3.54,51.4,"0","0","NA","84","84.52380952","73.099999999999994","56.5","59.379271600000003","12.978769809999999","4.3340833639999996","85.926877140000002","72.269650850000005","51.849977359999997"
"AET",NA,320,"01.Wine_European",1,0.01,20.47,0,0,1.96,22.44,0.01,20.47,0,0,1.96,22.44,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AEK",NA,321,"01.Wine_European",1,0.03,25.61,0,0,1.33,26.97,0.03,25.61,0,0,1.33,26.97,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AQE",NA,322,"01.Wine_European",2,0.02,20.5,0,0,1.1,21.62,0.04,41,0,0,2.2,43.24,"0","0","NA","17","82.352941180000002","84.4","71.2","87.522450840000005","45.106445700000002","12.81082236","92.126636289999993","59.664908359999998","32.541854970000003"
"AQP",NA,323,"01.Wine_European",2,0.02,24.76,0,0,3.24,28.02,0.04,49.52,0,0,6.48,56.04,"0","0","NA","0","NA","55.7","41.1","37.054486689999997","32.468322520000001","40.489603989999999","95.499591379999998","46.77566891","45.34322186"
"ASA",NA,324,"01.Wine_European",3,0.05,24.25,0,0,1.5,25.8,0.15,72.75,0,0,4.5,77.4,"0","0","NA","0","NA","80.900000000000006","65.3","16.683109129999998","1.174139992","1.219349622","93.249430750000002","77.878422220000004","43.718009090000002"
"BPL",NA,325,"01.Wine_European",2,0.01,19.6,0,0,2.77,22.38,0.02,39.2,0,0,5.54,44.76,"0","0","NA","4","0","85.6","68.900000000000006","86.670214700000002","28.759142390000001","14.256321939999999","88.583400940000004","42.621307829999999","24.774442820000001"
"AIP",NA,326,"01.Wine_European",2,0.01,17.54,0,0,2.91,20.46,0.02,35.08,0,0,5.82,40.92,"0","0","NA","67","16.417910450000001","83.6","70","55.245229989999999","29.314298569999998","21.25004728","93.208291389999999","72.301209069999999","49.770520259999998"
"CAN",NA,327,"01.Wine_European",2,0.01,18.72,0.03,0,3.48,22.24,0.02,37.44,0.06,0,6.96,44.48,"0","0","NA","55","38.18181818","82.5","82","30.463382639999999","12.597570960000001","11.969610339999999","90.465161230000007","64.858769949999996","29.42371752"
"CAB",NA,328,"01.Wine_European",2,0.03,15.54,0,0,3.06,18.63,0.06,31.08,0,0,6.12,37.26,"0","20","0","90","20","73.099999999999994","64","24.92146829","10.0673023","7.9488689700000004","84.728259309999999","27.024703630000001","23.398275519999999"
"CAP",NA,329,"01.Wine_European",2,0.03,14.66,0,0,3.54,18.23,0.06,29.32,0,0,7.08,36.46,"0","23","0","90","28.88888889","74.599999999999994","64.3","25.349304650000001","7.2871552150000003","9.6786671000000002","90.655735559999997","36.121020360000003","25.837735469999998"
"AQC",NA,330,"01.Wine_European",2,0.02,32.69,0,0,3.28,35.99,0.04,65.38,0,0,6.56,71.98,"0","0","NA","5","40","47.8","17.8","10.417342039999999","4.4090534760000004","6.2185849150000001","49.52523248","38.553009359999997","46.655171729999999"
"AHK",NA,331,"01.Wine_European",1,0.03,24.77,0,0,2.99,27.79,0.03,24.77,0,0,2.99,27.79,"0","NA","NA","NA","NA","36","31.6","NA","NA","NA","NA","NA","NA"
"AES",NA,332,"01.Wine_European",1,0.11,17.16,0.01,0.01,2.8,20.09,0.11,17.16,0.01,0.01,2.8,20.09,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AFI",NA,333,"01.Wine_European",1,0.01,15.69,0,0,4.42,20.12,0.01,15.69,0,0,4.42,20.12,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BPR",NA,334,"01.Wine_European",3,0.02,21.18,0.03,0,2.91,24.14,0.06,63.54,0.09,0,8.73,72.42,"NA","8","0","53","28.301886790000001","NA","NA","37.59307183","17.42695982","20.733398189999999","62.679541200000003","28.830108469999999","25.910771919999998"
"AIA",NA,335,"01.Wine_European",1,0.02,21.19,0,0,1.97,23.18,0.02,21.19,0,0,1.97,23.18,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BVT",NA,336,"01.Wine_European",2,0.02,22.68,0,0,3.93,26.63,0.04,45.36,0,0,7.86,53.26,"0","0","NA","61","16.393442619999998","81.599999999999994","73.599999999999994","35.581545050000003","15.251792780000001","16.507866190000001","93.850132009999996","43.200338649999999","19.051286170000001"
"CAA",NA,337,"01.Wine_European",2,0.04,23.1,0,0,3.78,26.92,0.08,46.2,0,0,7.56,53.84,"0","0","NA","54","7.407407407","74.099999999999994","64.8","46.192123639999998","11.00559764","11.07910482","89.520301669999995","45.14724794","16.109602299999999"
"CAC",NA,338,"01.Wine_European",2,10.3,28.03,0.67,0.01,0.01,39.02,20.6,56.06,1.34,0.02,0.02,78.04,"0","0","NA","58","24.137931030000001","82.7","76.599999999999994","49.407352670000002","6.9373275860000003","9.2610140029999997","95.235972189999998","42.674146950000001","31.162133570000002"
"BVV",NA,339,"01.Wine_European",2,0.08,24.55,0.01,0,3.76,28.4,0.16,49.1,0.02,0,7.52,56.8,"0","2","0","55","21.81818182","65.2","58.3","69.917242650000006","22.670443339999998","14.702895359999999","93.184869030000002","43.233500229999997","19.83044864"
"CAD",NA,340,"01.Wine_European",2,0.16,24.66,0.02,0.01,3.76,28.61,0.32,49.32,0.04,0.02,7.52,57.22,"0","0","NA","58","17.241379309999999","83.1","76.599999999999994","66.769589389999993","29.837147989999998","15.775333270000001","94.933534710000004","46.947806900000003","30.732418079999999"
"CAM",NA,341,"01.Wine_European",2,0.03,24.91,0,0,3.65,28.59,0.06,49.82,0,0,7.3,57.18,"0","3","0","89","19.101123600000001","73.599999999999994","65.3","51.828458859999998","15.90103802","11.27408249","94.958704670000003","69.582314289999999","56.602406459999997"
"CAQ",NA,342,"01.Wine_European",2,0.03,24.91,0.01,0,3.51,28.46,0.06,49.82,0.02,0,7.02,56.92,"0","3","0","90","32.222222219999999","77.900000000000006","65.3","51.671571180000001","17.362178440000001","11.69064225","93.115527270000001","68.973166320000004","57.358652390000003"
"CBB",NA,343,"01.Wine_European",2,0.04,23.66,0,0,3.46,27.16,0.08,47.32,0,0,6.92,54.32,"0","21","0","71","19.718309860000002","76.7","57.4","45.793125340000003","12.50508219","9.0958964669999993","86.619985880000002","50.861710739999999","33.673131939999998"
"CBE",NA,344,"01.Wine_European",2,0.1,23.35,0.01,0,3.68,27.14,0.2,46.7,0.02,0,7.36,54.28,"0","0","NA","70","21.428571430000002","68.7","56.9","21.071371419999998","9.1185040009999998","7.4802179769999997","80.271683800000005","44.429200260000002","30.898411450000001"
"AAE",NA,345,"01.Wine_European",1,0.02,16.63,0.01,0,3.25,19.91,0.02,16.63,0.01,0,3.25,19.91,"0","NA","NA","NA","NA","68.400000000000006","63.2","NA","NA","NA","NA","NA","NA"
"AIB",NA,346,"01.Wine_European",1,0,17.97,0,0,3.9,21.87,0,17.97,0,0,3.9,21.87,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CAS",NA,347,"01.Wine_European",2,0.06,20.85,0,0,4,24.91,0.12,41.7,0,0,8,49.82,"0","19","0","83","26.506024100000001","83.5","73.7","49.216246679999998","13.31760255","13.265770249999999","94.264988689999996","77.108215549999997","70.608051849999995"
"CAR",NA,348,"01.Wine_European",2,0.02,20.26,0,0,3.63,23.91,0.04,40.52,0,0,7.26,47.82,"0","24","12.5","83","31.325301199999998","84.1","75.2","52.570931420000001","14.16273625","12.39219741","94.649999559999998","76.238900830000006","65.507120360000002"
